file_name,target
c2c4efc4-0c7c-4696-8743-dd9d08209d71.wav,six
a0513500-ab86-4720-87ac-4916f06988ff.wav,five
7a9e9857-6a9f-4306-aab0-d2de315fae24.wav,wow
efc1d37d-bca9-4a84-b1cd-242396f52c73.wav,cat
21c3143d-3a8f-4e84-b48a-a8e25b2757c3.wav,forward
0ebe5f67-85ab-449d-82f4-559ed435cb9a.wav,wow
1ba46fc7-64f2-4e5a-96a9-003b00b74562.wav,marvin
b73a8b00-cbdf-4215-ae84-d1807fffec92.wav,up
1969ddcd-2539-4a64-9938-10b54363c5b0.wav,cat
d54fe3e8-9710-425f-9c69-707281d05585.wav,two
be3171c7-6d06-41b6-afd1-61b63d1b2810.wav,nine
7ecf9e51-7acd-4f87-a435-240d467af4a7.wav,cat
9f0fd432-deff-4f96-9ac4-1391ff12453a.wav,one
20db0869-26f2-4b7a-8a9f-f8be0a10998c.wav,two
e13c958f-1ba7-45b1-a4eb-5131e7b20572.wav,house
4a0f57e9-fd6f-4eec-a8c8-169d12c0203a.wav,five
b7b79628-9287-4eb5-a207-bd9a992f30fc.wav,bed
f4ffe51c-6a14-4f0d-ad18-bcfcff6f73b7.wav,visual
0e57b53d-73a3-44cd-8f0a-58535215697c.wav,dog
0b7ed6e0-2cf7-4b42-bef8-7435d7f217f4.wav,dog
71169361-f69f-4c5a-a409-e4df3bef6ebf.wav,on
9212950a-5d0a-48e1-a4ad-01349cd38b94.wav,seven
a9c19a50-2bbb-4d9f-84a4-947d5de86547.wav,two
3bc6417b-2560-4528-beab-c1e3a809de2d.wav,left
c51d6012-d23c-4cf8-99c1-155ee6cb5521.wav,four
63bcde43-eb49-4a85-a1f5-3066575fc6bc.wav,stop
17941945-1f78-4061-8256-299e7234c5b7.wav,up
94fc9bc5-957e-48d9-8226-d29457402c7d.wav,three
100cd877-bf59-4760-bf8c-14f697c01be4.wav,visual
78043d53-fe36-42a4-a6b0-4f769aa8dfac.wav,right
f4bbcb17-9463-4a1c-913b-cd80ac61c2d6.wav,six
995b7bc9-492c-40fa-b378-dc92d4eb537a.wav,yes
9815d317-1f2f-45b6-8246-d4f203422bb7.wav,four
86022380-f8be-422b-b9d0-873af1fecf37.wav,wow
2b5c7e3a-50d5-4788-968f-f3c873c71b5b.wav,go
5d943ef7-753a-4647-8ae2-d1c98fd7ebf3.wav,three
6ed4b8e7-6998-404e-ad13-2ee6764c4b0b.wav,zero
b47382f0-c244-459f-bc60-8fd37d3faecf.wav,down
ad9a010f-fb4b-42ac-b73b-9861e5ad9aa1.wav,marvin
5995f4f1-be33-4a49-9b1c-ab80c5d7b45a.wav,right
c099628c-c6fa-4017-946d-2ca3b730b65c.wav,stop
423e49bd-2ddc-4d8e-aefc-8e873ca33448.wav,six
c97bdf57-0c1f-4bf5-bde0-d1c0a719dcb1.wav,seven
cebb21dc-3434-44aa-b9dd-ec3ab3fbecd7.wav,up
b527a383-13e6-464a-9ee6-082a727fa5be.wav,learn
7c08767f-8d25-4b92-a1e1-b6fe8e5f8729.wav,down
944dce83-7415-4918-8eb2-e6ab254c72ed.wav,backward
2fa32da7-1d1a-4efd-ad82-e3f7a57ca516.wav,nine
846097e3-960e-44e9-940f-797c2cb21156.wav,right
5689fb8a-2e53-427d-8b21-eaceb422c2f9.wav,eight
26c9b00b-63d3-4192-9c4b-f9e4925d6741.wav,on
58dbd405-a230-41c4-b18e-7b4665ee57b8.wav,no
c9dde90f-2a57-4032-88fc-30ecc29c33f4.wav,four
24010d9c-ba12-4a87-af86-17412eb5b22d.wav,forward
81fbbeeb-796f-4a0e-a212-9cf87efa61e3.wav,sheila
c6f8a36c-e63b-47b5-b94d-211459720cd6.wav,up
20f064a0-27e0-4c8d-9b55-b3c310318e7f.wav,go
4dec5cc2-77f5-4558-b220-2deaf94d5d99.wav,seven
366bb813-c647-4a9e-aeb2-689a9c8998be.wav,tree
26ec629b-3561-4ebf-85d9-fd5824205a4e.wav,down
acac6963-8857-4a47-9f59-d5895af1fd4e.wav,no
7ef8bab1-e0e4-4a89-a6ae-e0366dca4ca5.wav,right
15d6a144-f610-427b-b526-87cab5884efa.wav,eight
53bf6a3e-7bdf-4027-be5c-c626d36dcdc2.wav,backward
3d63d319-eb19-4b4f-9b74-02d4d4a5966d.wav,on
38a2c080-8a3c-4a36-ac10-e4b44b29c7c4.wav,wow
143c42ed-13c2-41da-a0c7-25912e12ee93.wav,right
21af18c4-ad92-49ae-91c8-129c4b45c073.wav,two
f0330513-a36b-4d11-83fc-13c5f473a576.wav,follow
3084a4ea-aeaa-4f53-85ca-34909d51fb3a.wav,left
fe9a274c-8cea-42da-a083-5295eda9822e.wav,seven
7fac39fe-77cc-475c-acd3-6855b643225b.wav,three
c67534fe-083e-4ed9-a3f9-ef46d784d579.wav,right
